activity_distribution_distance,generated_events,handover_rows,mean_cycle_time_generated,mean_cycle_time_reference,mean_cycle_time_relative_error,mode,reasoning_rows,resource_distribution_distance,run,seed,trace_variant_distance
0.01553425036565048,2249,0,804.8602222222222,574.1684045555555,0.4017842428045783,central_baseline,0,0.042738924060937884,1,4200,0.10333333333333326
0.01553425036565048,2249,0,753.1924444444444,574.1684045555555,0.31179709379422466,agent_profile,0,0.04118001253997191,1,4200,0.10333333333333326
0.01553425036565048,2249,1935,681.7038888888889,574.1684045555555,0.18728910103747862,llm_agent_proxy,2249,0.02947071016619903,1,4200,0.10333333333333326
0.008448676487774396,2237,0,814.1788888888889,574.1684045555555,0.4180140920835193,central_baseline,0,0.030700435975595852,2,4300,0.16
0.008448676487774396,2237,0,866.4065,574.1684045555555,0.5089762744271104,agent_profile,0,0.0614754757030858,2,4300,0.16
0.008448676487774396,2237,1916,818.4553333333333,574.1684045555555,0.42546215855759617,llm_agent_proxy,2237,0.04980574254443635,2,4300,0.16
0.012628438374502435,2244,0,799.6541111111111,574.1684045555555,0.3927170230310678,central_baseline,0,0.044783426020208364,3,4400,0.18333333333333332
0.012628438374502435,2244,0,794.9192777777778,574.1684045555555,0.3844706038694311,agent_profile,0,0.03566189821770616,3,4400,0.18333333333333332
0.012628438374502435,2244,1926,899.576,574.1684045555555,0.5667459108906063,llm_agent_proxy,2244,0.035006800202225914,3,4400,0.18333333333333332
0.005453523058272174,2263,0,807.4639444444445,574.1684045555555,0.4063190137908671,central_baseline,0,0.040028133549630585,4,4500,0.1366666666666666
0.005453523058272174,2263,0,798.9328333333333,574.1684045555555,0.3914608100941402,agent_profile,0,0.05509166449447578,4,4500,0.1366666666666666
0.005453523058272174,2263,1940,701.695,574.1684045555555,0.22210660571467455,llm_agent_proxy,2263,0.043367129289390564,4,4500,0.1366666666666666
0.02057623105307724,2261,0,884.1878888888889,574.1684045555555,0.5399452179423022,central_baseline,0,0.03560322439999898,5,4600,0.16
0.02057623105307724,2261,0,883.7476111111112,574.1684045555555,0.5391784084587352,agent_profile,0,0.04577512552431443,5,4600,0.16
0.02057623105307724,2261,1946,848.0777222222222,574.1684045555555,0.47705397143663913,llm_agent_proxy,2261,0.04551501727609539,5,4600,0.16
0.007812362040103096,2237,0,815.5824444444445,574.1684045555555,0.42045859363466626,central_baseline,0,0.03921617647438145,6,4700,0.16999999999999998
0.007812362040103096,2237,0,786.8976111111111,574.1684045555555,0.3704996737328696,agent_profile,0,0.051587502363609566,6,4700,0.16999999999999998
0.007812362040103096,2237,1925,815.4385,574.1684045555555,0.42020789289372956,llm_agent_proxy,2237,0.03166115769546629,6,4700,0.16999999999999998
0.01208316708888748,2216,0,881.6253333333333,574.1684045555555,0.5354821448522056,central_baseline,0,0.03453037346113726,7,4800,0.19000000000000003
0.01208316708888748,2216,0,851.8311111111111,574.1684045555555,0.48359105856840895,agent_profile,0,0.05458345951887656,7,4800,0.19000000000000003
0.01208316708888748,2216,1904,890.8150555555555,574.1684045555555,0.5514874181297132,llm_agent_proxy,2216,0.040407415063108805,7,4800,0.19000000000000003
0.014993271570708552,2262,0,846.9126111111111,574.1684045555555,0.47502475648529935,central_baseline,0,0.043889020357177774,8,4900,0.14999999999999997
0.014993271570708552,2262,0,881.4975000000001,574.1684045555555,0.5352595040166616,agent_profile,0,0.030158433023578363,8,4900,0.14999999999999997
0.014993271570708552,2262,1948,775.1586666666667,574.1684045555555,0.350054549355935,llm_agent_proxy,2262,0.04567031756067068,8,4900,0.14999999999999997
0.018099874770147708,2240,0,788.2573333333333,574.1684045555555,0.37286783298969034,central_baseline,0,0.03450498541627039,9,5000,0.1466666666666666
0.018099874770147708,2240,0,731.4135555555556,574.1684045555555,0.2738659072014216,agent_profile,0,0.036011706613404346,9,5000,0.1466666666666666
0.018099874770147708,2240,1920,763.9632222222223,574.1684045555555,0.3305560113736675,llm_agent_proxy,2240,0.03921061600405808,9,5000,0.1466666666666666
0.007596435278861021,2248,0,762.7666666666667,574.1684045555555,0.32847203122766516,central_baseline,0,0.048678867085878375,10,5100,0.14999999999999994
0.007596435278861021,2248,0,805.9903333333333,574.1684045555555,0.40375250003041063,agent_profile,0,0.04500859273440079,10,5100,0.14999999999999994
0.007596435278861021,2248,1927,910.8985555555555,574.1684045555555,0.58646583185059,llm_agent_proxy,2248,0.051155793856510826,10,5100,0.14999999999999994
