mode,cases,seed,bigram,trigram,absolute_emd,case_arrival_emd,circadian_emd,workforce_emd,relative_emd,cycle_time_wass
central_baseline,100,8300,0.0619362598,0.0831991412,667.0900962861,669.24,8.1281525823,9.2793180995,3.2874828061,73.17
agent_profile,100,8300,0.0619362598,0.0831991412,667.3645116919,669.24,8.3172382122,9.3388896279,3.5316368638,79.20
llm_agent_proxy,100,8300,0.0619362598,0.0831991412,668.2565337001,669.24,8.1222311084,9.1770161701,2.5350756534,63.61
llm_agent_real,100,8300,0.0619362598,0.0831991412,668.9147180193,669.24,8.1384936143,9.1990810558,2.0715268226,41.96
