mode,cases,seed,bigram,trigram,absolute_emd,case_arrival_emd,circadian_emd,workforce_emd,relative_emd,cycle_time_wass
central_baseline,20,8100,0.1686746988,0.2741935484,855.9335664336,818.75,8.3113953752,11.1201991869,1.9300699301,54.35
agent_profile,20,8100,0.1686746988,0.2741935484,860.0069930070,818.75,8.4300519849,11.3789949315,1.9370629371,33.10
llm_agent_proxy,20,8100,0.1686746988,0.2741935484,848.0524475524,818.75,11.5367492285,14.2681906126,8.7902097902,210.55
llm_agent_real,20,8100,0.1686746988,0.2741935484,847.5944055944,818.75,11.4255821049,13.6018674113,8.8671328671,188.20
