mode,name,bigram,bigram_runtime,trigram,trigram_runtime,absolute_emd,absolute_emd_runtime,absolute_wass,absolute_wass_runtime,case_arrival_emd,case_arrival_emd_runtime,case_arrival_wass,case_arrival_wass_runtime,circadian_emd,circadian_emd_runtime,circadian_wass,circadian_wass_runtime,workforce_emd,workforce_emd_runtime,workforce_wass,workforce_wass_runtime,relative_emd,relative_emd_runtime,relative_wass,relative_wass_runtime,cycle_time_wass,cycle_time_wass_runtime,run
central_baseline,run_01/simulated_logs/simulated_central_baseline.csv,0.027048216385731086,0.11299824714660645,0.03612767450017538,0.1083688735961914,538.5477141588992,4.058694124221802,541.4439815141001,0.006987094879150391,537.3166666666667,0.6715419292449951,537.3166666666667,0.017960071563720703,8.568483256129644,0.06955385208129883,9.552533826310876,0.012047052383422852,8.677114307342288,0.11148476600646973,9.482536745460978,0.055692195892333984,3.036617842876165,0.05847907066345215,3.0487891546018293,0.04442310333251953,59.79666666666665,0.03153109550476074,1
agent_profile,run_01/simulated_logs/simulated_agent_profile.csv,0.027048216385731086,0.10779595375061035,0.03612767450017538,0.12119388580322266,539.3439857967153,2.5015039443969727,542.2411230951982,0.00670623779296875,537.3166666666667,0.654994010925293,537.3166666666667,0.01764512062072754,8.932336687681172,0.08645510673522949,9.829905089801995,0.011703014373779297,8.7952767784277,0.11844491958618164,9.74355680065031,0.05776405334472656,2.233688415446072,0.07441186904907227,2.2444316623830636,0.045751094818115234,44.116666666666646,0.031209230422973633,1
llm_agent_proxy,run_01/simulated_logs/simulated_llm_agent_proxy.csv,0.027048216385731086,0.10626006126403809,0.03612767450017538,0.10840106010437012,540.0719041278296,2.5571088790893555,542.9709013050531,0.007075786590576172,537.3166666666667,0.6803410053253174,537.3166666666667,0.018318891525268555,8.636275594875206,0.06987905502319336,9.60779500715079,0.011601924896240234,8.521327517346341,0.11292004585266113,9.48818884486917,0.07569479942321777,1.3921438082556592,0.057944297790527344,1.4013903106711918,0.04539799690246582,27.29333333333332,0.031038999557495117,1
central_baseline,run_02/simulated_logs/simulated_central_baseline.csv,0.029076620825147347,0.10882091522216797,0.044639718804920916,0.10693979263305664,487.0108743897026,3.12861704826355,498.30257843265053,0.006703853607177734,491.17,0.7138149738311768,491.1700000000001,0.017600059509277344,9.125123406026244,0.07505989074707031,10.0193290550165,0.011487960815429688,9.273740127544505,0.11266398429870605,9.971455146000824,0.05666160583496094,3.205281846426986,0.07489418983459473,3.2554346154662706,0.04396820068359375,59.97666666666666,0.031213045120239258,2
agent_profile,run_02/simulated_logs/simulated_agent_profile.csv,0.029076620825147347,0.10739874839782715,0.044639718804920916,0.10722875595092773,486.71549045716824,3.0727617740631104,498.00508178535506,0.0064849853515625,491.17,0.7236883640289307,491.1700000000001,0.017648935317993164,9.098605622948593,0.06913208961486816,9.965123964982256,0.01257181167602539,9.165853264148241,0.11331701278686523,9.875756792155055,0.06930422782897949,3.488681757656458,0.08074283599853516,3.5408615265078427,0.047270774841308594,71.93666666666668,0.032337188720703125,2
llm_agent_proxy,run_02/simulated_logs/simulated_llm_agent_proxy.csv,0.029076620825147347,0.1082768440246582,0.044639718804920916,0.10719895362854004,487.40368397691964,3.0916810035705566,498.69819756541756,0.006865978240966797,491.17,0.7384569644927979,491.1700000000001,0.017783164978027344,9.295029867893534,0.07255196571350098,10.182670507376374,0.011384963989257812,9.36036402867425,0.1134958267211914,10.073892450569167,0.058054208755493164,2.8038171327119397,0.05909919738769531,2.851098450960236,0.06307101249694824,60.10333333333334,0.031803131103515625,2
central_baseline,run_03/simulated_logs/simulated_central_baseline.csv,0.038650186384147536,0.10820198059082031,0.06055818852027383,0.10706305503845215,418.8268974700402,3.16094708442688,424.886428018732,0.006996870040893555,415.4433333333333,0.7134397029876709,415.4433333333334,0.018284082412719727,8.546731830855219,0.06959295272827148,9.723810700150832,0.01170802116394043,8.71344135050491,0.10904288291931152,9.69378674542044,0.05811905860900879,3.123169107856192,0.05647158622741699,3.1509627092575316,0.06180572509765625,55.533333333333296,0.031116008758544922,3
agent_profile,run_03/simulated_logs/simulated_agent_profile.csv,0.038650186384147536,0.1071159839630127,0.06055818852027383,0.10657191276550293,419.1340434975588,3.0972540378570557,425.1948059153452,0.006963968276977539,415.4433333333333,0.7323782444000244,415.4433333333334,0.017845630645751953,8.656684570441426,0.07421994209289551,9.813569178395753,0.011741876602172852,8.915848439804735,0.11285519599914551,9.746437372012574,0.05734610557556152,2.818908122503329,0.059018850326538086,2.8454814258350716,0.062068939208984375,54.34000000000003,0.0317990779876709,3
llm_agent_proxy,run_03/simulated_logs/simulated_llm_agent_proxy.csv,0.038650186384147536,0.10836291313171387,0.06055818852027383,0.10784316062927246,417.90257434531736,2.918215274810791,423.9583977157017,0.006640195846557617,415.4433333333333,0.7261741161346436,415.4433333333334,0.017657756805419922,8.704829280605681,0.06981873512268066,9.788691582668225,0.012358903884887695,8.74677893872688,0.11078023910522461,9.763580793971748,0.0573430061340332,4.038171327119397,0.058773040771484375,4.069634723517782,0.06230306625366211,80.16333333333333,0.03149533271789551,3
central_baseline,run_04/simulated_logs/simulated_central_baseline.csv,0.012900703674745896,0.10706710815429688,0.027641707487753672,0.10704803466796875,524.6433644030182,2.9364888668060303,526.8082669368616,0.006838083267211914,525.0566666666666,0.6465940475463867,525.0566666666667,0.01824212074279785,8.7170721385357,0.07215690612792969,9.416774161219449,0.011942148208618164,8.471702281866387,0.1286160945892334,9.380961209177565,0.057190895080566406,2.713936972924989,0.057962894439697266,3.11685063113178,0.04501199722290039,57.44,0.031553030014038086,4
