metric,n,real_mean,mock_mean,mean_delta_real_minus_mock,delta_sample_sd,real_wins
trace_variant_distance,3,0.8666666666666667,0.7333333333333334,0.13333333333333333,0.3055050463303894,1
activity_distribution_distance,3,0.10063411540900445,0.14495266591455339,-0.04431855050554894,0.052903999577201696,2
resource_distribution_distance,3,0.15972592122877471,0.16448717319860695,-0.004761251969832236,0.055019927754835656,1
mean_cycle_time_relative_error,3,0.43692096080174475,0.6556914906580881,-0.21877052985634338,0.3511229033225553,2
proposal_execution_rate,3,0.9826506024096385,0.9753300714507612,0.007320530958877376,0.024462136855380064,not_directional
bid_disagreement_rate,3,0.22685056013527793,0.08886688412550481,0.13798367600977313,0.02868226940479439,not_directional
generated_resource_entropy_normalized,3,0.9868845130840721,0.9880829228243084,-0.0011984097402362541,0.010265067756094188,not_directional
