mode,cases,seed,bigram,trigram,absolute_emd,case_arrival_emd,circadian_emd,workforce_emd,relative_emd,cycle_time_wass
central_baseline,100,8200,0.0681133213,0.0801506186,850.6405622490,941.62,8.3467530884,9.4736538538,2.7751004016,54.77
agent_profile,100,8200,0.0681133213,0.0801506186,852.0287817938,941.62,8.1071622041,9.4886500555,1.3775100402,30.11
llm_agent_proxy,100,8200,0.0681133213,0.0801506186,850.0970548862,941.62,8.2795389342,9.1518036162,3.2971887550,64.39
llm_agent_real,100,8200,0.0681133213,0.0801506186,850.7904953146,941.62,8.1788483276,9.0005691286,2.6057563588,46.91
