activity_distribution_distance,generated_events,handover_rows,mean_cycle_time_generated,mean_cycle_time_reference,mean_cycle_time_relative_error,mode,reasoning_rows,resource_distribution_distance,run,seed,trace_variant_distance
0.014568132968405447,2236,0,761.9058888888889,574.1684045555555,0.3269728582133575,central_baseline,0,0.04180551949418268,1,9100,0.18666666666666665
0.014568132968405447,2236,0,765.2342777777778,574.1684045555555,0.3327697443925358,agent_profile,0,0.05419964793513241,1,9100,0.18666666666666665
0.014568132968405447,2236,1921,858.4938888888889,574.1684045555555,0.4951952808225667,llm_agent_proxy,2236,0.052208464643047986,1,9100,0.18666666666666665
0.012861050398528279,2245,1820,3021.8062777777777,574.1684045555555,4.262926789078295,agent_simulator_orchestrated,0,0.1233427936223615,1,9100,0.14333333333333328
0.012861050398528279,2245,1829,9881.069777777779,574.1684045555555,16.20935826384662,agent_simulator_autonomous,0,0.0499716784450725,1,9100,0.14333333333333328
0.012167274137908454,2238,0,766.0958333333333,574.1684045555555,0.3342702720229657,central_baseline,0,0.04975076424761027,2,9200,0.16999999999999998
0.012167274137908454,2238,0,761.1947777777777,574.1684045555555,0.3257343520443154,agent_profile,0,0.048761912921585646,2,9200,0.16999999999999998
0.012167274137908454,2238,1920,856.2226666666667,574.1684045555555,0.4912396082285995,llm_agent_proxy,2238,0.038732390176220224,2,9200,0.16999999999999998
0.02247679167341843,2268,1877,2707.009,574.1684045555555,3.7146603305269026,agent_simulator_orchestrated,0,0.10187416190523159,2,9200,0.1433333333333333
0.02247679167341843,2268,1870,7718.1725,574.1684045555555,12.442349733567067,agent_simulator_autonomous,0,0.04952831850301891,2,9200,0.1433333333333333
0.017649290831222426,2274,0,602.0541111111111,574.1684045555555,0.04856712130849647,central_baseline,0,0.05304331837819289,3,9300,0.14666666666666667
0.017649290831222426,2274,0,664.1569444444444,574.1684045555555,0.15672847752489275,agent_profile,0,0.04204010600934316,3,9300,0.14666666666666667
0.017649290831222426,2274,1957,821.6397777777778,574.1684045555555,0.4310083439958379,llm_agent_proxy,2274,0.04223743891170613,3,9300,0.14666666666666667
0.018825979639013193,2210,1827,3323.1628333333333,574.1684045555555,4.787784223176965,agent_simulator_orchestrated,0,0.11528881551596364,3,9300,0.1466666666666666
0.018825979639013193,2210,1818,6205.011611111111,574.1684045555555,9.806954130320358,agent_simulator_autonomous,0,0.04996314617212244,3,9300,0.1466666666666666
