mode,cases,seed,bigram,trigram,absolute_emd,case_arrival_emd,circadian_emd,workforce_emd,relative_emd,cycle_time_wass
central_baseline,100,8400,0.0644589001,0.0893707033,820.4966532798,830.61,8.1741502040,9.0450154868,6.1519410977,134.10
agent_profile,100,8400,0.0644589001,0.0893707033,823.6278447122,830.61,8.1007800075,9.7043727773,3.0227576975,52.00
llm_agent_proxy,100,8400,0.0644589001,0.0893707033,824.6472556894,830.61,8.3352394708,8.8456540026,2.0153949130,37.08
llm_agent_real,100,8400,0.0644589001,0.0893707033,820.9785809906,830.61,8.0178324556,8.1642113216,5.6566265060,88.66
