scope,metric,mean,sd,n
central_baseline,resources_used,19.0,0.0,3
central_baseline,resource_coverage,1.0,0.0,3
central_baseline,max_resource_share,0.07662269769730334,0.007824457367342219,3
central_baseline,assignment_entropy,2.893594166808333,0.008347212711677512,3
central_baseline,normalized_assignment_entropy,0.9827319184680468,0.0028349076923443657,3
central_baseline,effective_resource_count,18.0585156550935,0.15037610010030292,3
central_baseline,hhi,0.05710394083966563,0.0006343902565644228,3
central_baseline,activity_capability_coverage,0.9944566330498442,0.0024422687917616485,3
central_baseline,activity_conditional_entropy,0.9789742123029982,0.0007438256190556133,3
central_baseline,conditional_decisions,723.3333333333334,15.534906930308058,3
agent_profile,resources_used,19.0,0.0,3
agent_profile,resource_coverage,1.0,0.0,3
agent_profile,max_resource_share,0.07213398443040168,0.0036487129020081476,3
agent_profile,assignment_entropy,2.899891721210387,0.006395683436923024,3
agent_profile,normalized_assignment_entropy,0.9848707144990098,0.0021721229348531717,3
agent_profile,effective_resource_count,18.172425210945576,0.11610647230088257,3
agent_profile,hhi,0.056423159096654026,0.0005400071729331845,3
agent_profile,activity_capability_coverage,0.9940863116809392,0.0014465841754396662,3
agent_profile,activity_conditional_entropy,0.9846615942579957,0.0021922210042453726,3
agent_profile,conditional_decisions,723.3333333333334,15.534906930308058,3
llm_agent_proxy,resources_used,19.0,0.0,3
llm_agent_proxy,resource_coverage,1.0,0.0,3
llm_agent_proxy,max_resource_share,0.0725466107407816,0.0011468986172351648,3
llm_agent_proxy,assignment_entropy,2.8984165245676596,0.00582619292174437,3
llm_agent_proxy,normalized_assignment_entropy,0.984369703388518,0.0019787107027749162,3
llm_agent_proxy,effective_resource_count,18.14559506067276,0.10565615576024272,3
llm_agent_proxy,hhi,0.05655391508364405,0.00042798065279797204,3
llm_agent_proxy,activity_capability_coverage,0.9962991690228726,0.0021217534508198984,3
llm_agent_proxy,activity_conditional_entropy,0.9846547830034149,0.0011193706181941668,3
llm_agent_proxy,conditional_decisions,723.3333333333334,15.534906930308058,3
llm_agent_real,resources_used,10.333333333333334,0.5773502691896257,3
llm_agent_real,resource_coverage,0.543859649122807,0.03038685627313823,3
llm_agent_real,max_resource_share,0.2720366853845036,0.009140088914465388,3
llm_agent_real,assignment_entropy,1.9316524229762002,0.03924823603515358,3
llm_agent_real,normalized_assignment_entropy,0.6560341160552915,0.0133296143383704,3
llm_agent_real,effective_resource_count,6.904425974280122,0.26840581257169005,3
llm_agent_real,hhi,0.16655702756626234,0.008117414691314499,3
llm_agent_real,activity_capability_coverage,0.3860052106103036,0.023490917217896437,3
llm_agent_real,activity_conditional_entropy,0.07842014426949388,0.00570606317112073,3
llm_agent_real,conditional_decisions,723.3333333333334,15.534906930308058,3
llm_agent_real,decisions,730.6666666666666,16.65332799572906,3
llm_agent_real,feasible_action_rate,1.0,0.0,3
llm_agent_real,reason_action_consistency,1.0,0.0,3
llm_agent_real,historical_capability_factor_rate,0.9409691033123041,0.018355794901124666,3
llm_agent_real,handover_continuity_factor_rate,0.2910306826319835,0.03210238519882233,3
llm_agent_real,workload_balance_factor_rate,0.03831865366398594,0.005830101035074619,3
llm_agent_real,maximum_feasible_prior_selection_rate,0.2993074487885935,0.002485224648508371,3
llm_agent_real,mean_selected_to_max_prior_ratio,0.926793211097294,0.0021037967573283747,3
llm_agent_real,tokens_per_decision,370.11678832116786,,2192
llm_agent_real,weighted_mean_latency_seconds,0.1945585159671533,,2192
